,,,,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,"1.  Manually sum denver truck terminal, T-101, and T-29 oil on this spreadsheet (make sure ""double count"" is ""NO""); input water %, and 6BQ  to the Summary tab; input total waste quantity on Flows tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,"2.  Change ""double count"" to YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,"3.  Manually sum TK-4516 and TK-60 slop movements that do NOT go to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4.  Manually sum movements to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW).",,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SAMPLE POINTS #1 OMD,DIESEL AND WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,4,168,99%,90.0%,1.,0.02,Diesel,NO,572,<0.01,10%,0.86,2.,Diesel,NO,55,<0.01,YES,0.63,0.19,<0.001,<0.001,<0.001,
07/03/2014,307166,ethanol off loading area,ethanol,ETHANOL,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,2.5,105,10-30%,10.0%,1.,-0-,Ethanol,NO,40,-0-,90%,0.79,-0-,Ethanol,NO,282,-0-,YES,0.32,-0.00-,-0.00-,-0.00-,-0.00-,
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,55,"2,310",99%,95.5%,1.,0.1,Ultra Low Sulfur Diesel,NO,"8,344",<0.01,5%,0.84,10.,Ultra Low Sulfur Diesel,NO,330,<0.01,YES,8.67,0.48,<0.001,<0.001,<0.001,
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SAMPLE POINTS #1 OMD,DIESEL AND GAS,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,1,42,50-70%,50.0%,1.,360.,Gasoline,NO,79,0.03,50%,0.77,"36,000.",Gasoline,NO,61,2.2,YES,0.14,"15,864.41",<0.001,<0.001,<0.001,
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 80 - WATER DRAW,GASOLINE AND WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,10,420,>90%,95.5%,1.,56.2,Debut Gasoline,NO,"1,517",0.09,5%,0.75,"5,620.",Debut Gasoline,NO,54,0.3,YES,1.57,246.11,<0.001,<0.001,-,
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,25,"1,050",99%,90.0%,1.,4.42,"Spider Sump, Aqueous Layer",NO,"3,574",0.02,10%,0.8,"2,152.08","Spider Sump, Oil Layer",NO,318,0.68,YES,3.89,179.73,<0.001,<0.001,-,
07/03/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,25,"1,050",30-50%,50.0%,1.,23.65,Denver Truck Terminal Aqueous,YES,"1,986",0.05,50%,0.78,"7,933.33",Denver Truck Terminal Oil,YES,"1,547",12.27,YES,3.53,"3,487.19",0.01,-,-,
07/04/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N - Monitoring Trenches North of Pond/Swale,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,99%,99.0%,1.,1.69,All Groundwater,NO,"3,145",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,25,0.13,YES,3.17,43.55,<0.001,<0.001,-,
07/04/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N ? Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,3,126,99%,99.0%,1.,1.69,All Groundwater,NO,472,<0.01,1%,0.78,"5,350.",Remediation Oil,YES,4,0.02,YES,0.48,43.55,<0.001,<0.001,-,
07/04/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
