,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,2,84,99%,99.0%,1,<0.01,Stormwater,NO,315,<0.01,1%,0.85,0.03,Stormwater,NO,3,<0.01,YES,0.32,<0.001,<0.001,<0.001,<0.001,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 1ST LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,8,336,99%,99.0%,1,<0.01,Fourth Lagoon,NO,"1,258",<0.01,1%,0.85,1.21,Fourth Lagoon,NO,11,<0.01,YES,1.27,0.02,<0.001,<0.001,<0.001,
10/20/2013,LV-5,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,SOUTH AND NORTH VAULTS GROUND WATER ,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,65,"2,730",99%,99.0%,1,1.88,All Groundwater,NO,"10,222",0.02,1%,0.79,"8,540",Remediation Oil,YES,82,0.7,YES,10.3,69.55,<0.001,<0.001,-,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,6,252,99%,99.0%,,<0.01,Fourth Lagoon,YES,#VALUE!,#VALUE!,1%,0.85,<0.01,Fourth Lagoon,YES,8,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,65,"2,730",99%,99.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,1%,0.85,0.63,Stripped Sour Water,NO,88,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,65,"2,730",99%,99.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,1%,0.85,0.63,Stripped Sour Water,NO,88,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,65,"2,730",99%,99.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,1%,0.85,0.63,Stripped Sour Water,NO,88,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,SOLIDS,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,65,"2,730",<10%,10.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,90%,0.85,0.63,Stripped Sour Water,NO,"7,899",<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,SOLIDS,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,65,"2,730",<10%,10.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,90%,0.85,0.63,Stripped Sour Water,NO,"7,899",<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/02/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,SOLIDS,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,65,"2,730",<10%,10.0%,,<0.01,Stripped Sour Water,YES,#VALUE!,#VALUE!,90%,0.85,0.63,Stripped Sour Water,NO,"7,899",<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
